symbol,name
RELIANCE.NS,Reliance Industries
TCS.NS,Tata Consultancy Services
INFY.NS,Infosys
HDFCBANK.NS,HDFC Bank
ITC.NS,ITC Limited
SBIN.NS,State Bank of India
WIPRO.NS,Wipro
AXISBANK.NS,Axis Bank
BAJFINANCE.NS,Bajaj Finance
HINDUNILVR.NS,Hindustan Unilever
